Date,Amount
2024/4/7,83901.99
2024/4/8,83999.25
2024/4/9,84067.53
2024/4/10,83969.44
2024/4/11,82702
2024/4/12,82791.33
2024/4/13,82791.33
2024/4/14,82791.33
2024/4/15,81732.04
2024/4/16,81445.8
2024/4/17,80754.33
2024/4/18,80748.45
2024/4/19,80992.78
2024/4/20,80992.78
2024/4/21,81455.75
2024/4/22,82146.5
2024/4/23,82781.01
2024/4/24,82722.04
2024/4/25,82374.39
2024/4/26,82657.31
2024/4/27,82657.31
2024/4/28,82657.31
2024/4/29,83565.83
2024/4/30,82710.52
2024/5/1,82639.61
2024/5/2,83338
2024/5/3,83677.22
2024/5/4,83677.22
2024/5/5,83677.22
2024/5/6,84152.01
2024/5/7,83816.68
2024/5/8,83676.58
2024/5/9,84160.49
2024/5/10,84352.98
2024/5/11,84352.98
2024/5/12,84352.98
2024/5/13,84282.35
2024/5/14,84506.17
2024/5/15,84923.3
2024/5/16,84813.98
2024/5/17,84814.68
2024/5/18,84814.68
2024/5/19,84814.68
2024/5/20,84784.36
2024/5/21,84631.28
2024/5/22,84042.4
2024/5/23,83057.06
2024/5/24,83704.4
2024/5/25,83704.4
2024/5/26,83704.4
2024/5/27,83704.4
2024/5/28,83423.16
2024/5/29,82610.88
2024/5/30,83188.44
2024/5/31,83994.01
2024/6/1,83994.01
2024/6/2,83994.01
2024/6/3,84113.07
2024/6/4,83775.17
2024/6/5,83791.9
2024/6/6,83595.54
2024/6/7,83438.36
2024/6/8,83438.36
2024/6/9,83438.36
2024/6/10,83214.13
2024/6/11,82414.45
2024/6/12,82775.51
2024/6/13,82171.86
2024/6/14,81755.41
2024/6/15,81755.41
2024/6/16,81755.41
2024/6/17,82623.3
2024/6/18,82776.51
2024/6/19,82776.51
2024/6/20,83046.88
2024/6/21,82981.69
2024/6/22,82981.69
2024/6/23,82981.69
2024/6/24,83665.46
2024/6/25,83244.18
2024/6/26,83048.24
2024/6/27,83280.16
2024/6/28,83715.69
2024/6/29,83715.69
2024/6/30,83715.69
2024/7/1,83514.71
2024/7/2,83683.72
2024/7/3,83718.28
2024/7/4,83718.28
2024/7/5,83551.17
2024/7/6,83551.17
2024/7/7,83551.17
2024/7/8,83660.81
2024/7/9,83771.32
2024/7/10,84381.33
2024/7/11,84954.41
2024/7/12,85125.16
2024/7/13,85125.16
2024/7/14,85125.16
2024/7/15,85214.65
2024/7/16,86524.13
2024/7/17,86837.11
2024/7/18,86088.02
2024/7/19,85661.82
2024/7/20,85661.82
2024/7/21,85661.82
2024/7/22,86084.01
2024/7/23,86001.05
2024/7/24,85422.82
